S. No.,State/ UT,Surfaced Roads-Accident - 2014,Surfaced Roads-Injured - 2014,Rutted/Pot holes-Accident - 2014,Rutted/Pot holes-Injured - 2014
1,Andhra Pradesh,13846,17323,282,424
2,Arunachal Pradesh,81,111,28,34
3,Assam,4948,5043,17,23
4,Bihar,5990,3732,494,355
5,Chhattisgarh,7248,7170,114,98
6,Goa,3793,1759,17,4
7,Gujarat,17896,17157,506,484
8,Haryana,7972,7310,0,0
9,Himachal Pradesh,810,1618,8,0
10,Jammu & Kashmir,2350,3158,45,58
11,Jharkhand,3246,2544,62,57
12,Karnataka,31808,30236,248,467
13,Kerala,32954,37511,494,556
14,Madhya Pradesh,38703,41385,2962,2801
15,Maharashtra,48820,31517,565,368
16,Manipur,228,384,1,2
17,Meghalaya,542,311,0,0
18,Mizoram,13,37,0,0
19,Nagaland,249,195,0,0
20,Orissa,6377,6438,79,84
21,Punjab,5567,3632,161,97
22,Rajasthan,23978,26655,318,353
23,Sikkim,44,121,0,0
24,Tamil Nadu,48327,56317,1665,1743
25,Telangana,9946,9037,282,424
26,Tripura,606,1019,0,0
27,Uttarakhand,850,860,0,0
28,Uttar Pradesh,18394,12374,2406,1940
29,West Bengal,4813,7552,352,207
30,A & N Islands,218,283,0,0
31,Chandigarh,369,335,0,0
32,D & N Haveli,87,96,0,0
33,Daman & Diu,39,49,0,0
34,Delhi,NA,NA,NA,NA
35,Lakshadweep,0,0,0,0
36,Puducherry,1037,1217,0,0
Total,Total,342149,334486,11106,10579
