Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age
1,02-01-2020 00:00,01-01-2020 00:00,01-01-2020 01:11,Ahmedabad,576,IDENTITY THEFT,16
2,01-01-2020 19:00,01-01-2020 01:00,01-01-2020 06:26,Chennai,128,HOMICIDE,37
3,02-01-2020 05:00,01-01-2020 02:00,01-01-2020 14:30,Ludhiana,271,KIDNAPPING,48
4,01-01-2020 05:00,01-01-2020 03:00,01-01-2020 14:46,Pune,170,BURGLARY,49
5,01-01-2020 21:00,01-01-2020 04:00,01-01-2020 16:51,Pune,421,VANDALISM,30
6,02-01-2020 03:00,01-01-2020 05:00,01-01-2020 17:09,Delhi,442,ASSAULT,16
7,01-01-2020 16:00,01-01-2020 06:00,01-01-2020 14:08,Chennai,172,VEHICLE - STOLEN,64
8,02-01-2020 10:00,01-01-2020 07:00,02-01-2020 06:33,Chennai,169,COUNTERFEITING,78
9,04-01-2020 03:00,01-01-2020 08:00,02-01-2020 06:34,Mumbai,338,EXTORTION,41
10,03-01-2020 07:00,01-01-2020 09:00,01-01-2020 17:50,Chennai,497,PUBLIC INTOXICATION,29
11,02-01-2020 13:00,01-01-2020 10:00,01-01-2020 19:42,Delhi,260,FRAUD,71
12,03-01-2020 09:00,01-01-2020 11:00,01-01-2020 22:16,Surat,563,IDENTITY THEFT,26
13,01-01-2020 16:00,01-01-2020 12:00,01-01-2020 23:14,Visakhapatnam,498,FRAUD,36
14,02-01-2020 22:00,01-01-2020 13:00,01-01-2020 17:46,Mumbai,436,ASSAULT,32
15,02-01-2020 00:00,01-01-2020 14:00,01-01-2020 22:28,Bangalore,266,SEXUAL ASSAULT,77
16,02-01-2020 07:00,01-01-2020 15:00,01-01-2020 18:54,Kolkata,357,COUNTERFEITING,51
17,03-01-2020 07:00,01-01-2020 16:00,02-01-2020 02:57,Ghaziabad,509,DRUG OFFENSE,61
18,04-01-2020 02:00,01-01-2020 17:00,01-01-2020 23:09,Pune,342,ARSON,64
19,02-01-2020 20:00,01-01-2020 18:00,02-01-2020 10:42,Bangalore,480,CYBERCRIME,11
20,03-01-2020 18:00,01-01-2020 19:00,02-01-2020 18:02,Bangalore,369,EXTORTION,62
21,03-01-2020 22:00,01-01-2020 20:00,02-01-2020 02:33,Hyderabad,251,TRAFFIC VIOLATION,50
22,03-01-2020 12:00,01-01-2020 21:00,02-01-2020 10:11,Mumbai,374,VANDALISM,64
23,02-01-2020 10:00,01-01-2020 22:00,01-01-2020 22:03,Jaipur,507,SHOPLIFTING,69
24,03-01-2020 09:00,01-01-2020 23:00,01-01-2020 23:40,Chennai,322,VANDALISM,77
25,03-01-2020 01:00,01-02-2020 00:00,02-01-2020 20:47,Bangalore,527,DRUG OFFENSE,18
26,02-01-2020 16:00,01-02-2020 01:00,02-01-2020 08:21,Jaipur,282,ASSAULT,60
27,02-01-2020 06:00,01-02-2020 02:00,02-01-2020 04:02,Pune,247,IDENTITY THEFT,49
28,02-01-2020 15:00,01-02-2020 03:00,02-01-2020 20:11,Lucknow,489,PUBLIC INTOXICATION,41
29,04-01-2020 14:00,01-02-2020 04:00,02-01-2020 19:56,Bangalore,387,VANDALISM,33
30,04-01-2020 23:00,01-02-2020 05:00,02-01-2020 09:35,Bhopal,517,BURGLARY,37
31,03-01-2020 07:00,01-02-2020 06:00,02-01-2020 13:06,Bhopal,570,HOMICIDE,32
32,04-01-2020 13:00,01-02-2020 07:00,02-01-2020 15:05,Hyderabad,222,VANDALISM,60
33,03-01-2020 04:00,01-02-2020 08:00,03-01-2020 03:01,Delhi,319,ILLEGAL POSSESSION,73
