state_ut,year,01_District_wise_crimes_committed_IPC_2001_2012_total_ipc_crimes,01_District_wise_crimes_committed_IPC_2013_total_ipc_crimes,17_Crime_by_place_of_occurrence_2001_2012_total_-_dacoity,17_Crime_by_place_of_occurrence_2001_2012_total_-_robbery,17_Crime_by_place_of_occurrence_2001_2012_total_-_burglary,17_Crime_by_place_of_occurrence_2001_2012_total_-_theft
A & N ISLANDS,2001,637.0,,0.0,4.0,64.0,65.0
A & N ISLANDS,2001,21.0,,0.0,4.0,64.0,65.0
A & N ISLANDS,2001,658.0,,0.0,4.0,64.0,65.0
A & N ISLANDS,2002,580.0,,1.0,7.0,49.0,49.0
A & N ISLANDS,2002,28.0,,1.0,7.0,49.0,49.0
A & N ISLANDS,2002,608.0,,1.0,7.0,49.0,49.0
A & N ISLANDS,2003,611.0,,2.0,7.0,56.0,60.0
A & N ISLANDS,2003,33.0,,2.0,7.0,56.0,60.0
A & N ISLANDS,2003,644.0,,2.0,7.0,56.0,60.0
A & N ISLANDS,2004,721.0,,0.0,3.0,69.0,103.0
A & N ISLANDS,2004,27.0,,0.0,3.0,69.0,103.0
A & N ISLANDS,2004,748.0,,0.0,3.0,69.0,103.0
A & N ISLANDS,2005,666.0,,0.0,4.0,68.0,92.0
A & N ISLANDS,2005,16.0,,0.0,4.0,68.0,92.0
A & N ISLANDS,2005,682.0,,0.0,4.0,68.0,92.0
A & N ISLANDS,2006,655.0,,0.0,5.0,82.0,101.0
A & N ISLANDS,2006,21.0,,0.0,5.0,82.0,101.0
A & N ISLANDS,2006,676.0,,0.0,5.0,82.0,101.0
A & N ISLANDS,2007,807.0,,5.0,9.0,90.0,112.0
A & N ISLANDS,2007,807.0,,5.0,9.0,90.0,112.0
A & N ISLANDS,2008,859.0,,0.0,14.0,78.0,128.0
A & N ISLANDS,2008,23.0,,0.0,14.0,78.0,128.0
A & N ISLANDS,2008,882.0,,0.0,14.0,78.0,128.0
A & N ISLANDS,2009,921.0,,0.0,11.0,86.0,134.0
A & N ISLANDS,2009,20.0,,0.0,11.0,86.0,134.0
A & N ISLANDS,2009,941.0,,0.0,11.0,86.0,134.0
A & N ISLANDS,2010,956.0,,1.0,7.0,80.0,121.0
A & N ISLANDS,2010,24.0,,1.0,7.0,80.0,121.0
A & N ISLANDS,2010,980.0,,1.0,7.0,80.0,121.0
A & N ISLANDS,2011,771.0,,1.0,1.0,99.0,88.0
A & N ISLANDS,2011,22.0,,1.0,1.0,99.0,88.0
A & N ISLANDS,2011,793.0,,1.0,1.0,99.0,88.0
A & N ISLANDS,2012,24.0,,5.0,2.0,71.0,71.0
A & N ISLANDS,2012,115.0,,5.0,2.0,71.0,71.0
A & N ISLANDS,2012,544.0,,5.0,2.0,71.0,71.0
A & N ISLANDS,2012,683.0,,5.0,2.0,71.0,71.0
A & N Islands,2014,,,,,,
A&N Islands,2013,,24.0,,,,
A&N Islands,2013,,156.0,,,,
A&N Islands,2013,,432.0,,,,
A&N Islands,2013,,612.0,,,,
A&N Islands,2014,,,,,,
A&N Islands,2014,,,,,,
A&N Islands,2014,,,,,,
A&N Islands,2014,,,,,,
ANDHRA PRADESH,2001,4154.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,4125.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,5818.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,3140.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,6507.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,287.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,7848.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,11831.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,5811.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,4582.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,4779.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,4581.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,4819.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,3532.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,5002.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,5245.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,3621.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,3678.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,9867.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,439.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,2572.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,6733.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,320.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,3183.0,,214.0,629.0,7220.0,16751.0
ANDHRA PRADESH,2001,3422.0,,214.0,629.0,7220.0,16751.0
